Vetor V:
V[316] = 0
V[317] = 0
V[318] = 0
V[319] = 0
V[320] = 0
V[321] = 0
V[322] = 0
V[323] = 0
V[324] = 0
V[325] = 0
V[326] = 0
V[327] = 0
V[328] = 0
V[329] = 0
V[330] = 0
V[331] = 0
V[332] = 0
V[333] = 0
V[334] = 0
V[335] = 0
V[336] = 0
V[337] = 0
V[338] = 0
V[339] = 0
V[340] = 0
V[341] = 0
V[342] = 0
V[343] = 0
V[344] = 0
V[345] = 0
V[346] = 0
V[347] = 0
V[348] = 0
V[349] = 0
V[350] = 0
V[351] = 0
V[352] = 0
V[353] = 0
V[354] = 0
V[355] = 0
V[356] = 0
V[357] = 0
V[358] = 0
V[359] = 0
V[360] = 0
V[361] = 0
V[362] = 0
V[363] = 0
V[364] = 0
V[365] = 0
V[366] = 0
V[367] = 0
V[368] = 0
V[369] = 0
V[370] = 0
V[371] = 0
V[372] = 0
V[373] = 0
V[374] = 0
V[375] = 0
V[376] = 0
V[377] = 0
V[378] = 0
V[379] = 0
V[380] = 0
V[381] = 0
V[382] = 0
V[383] = 0
V[384] = 0
V[385] = 0
V[386] = 0
V[387] = 0
V[388] = 0
V[389] = 0
V[390] = 0
V[391] = 0
V[392] = 0
V[393] = 0
V[394] = 0
V[395] = 0
V[396] = 0
V[397] = 0
V[398] = 0
V[399] = 0
V[400] = 0
V[401] = 0
V[402] = 0
V[403] = 0
V[404] = 0
V[405] = 0
V[406] = 0
V[407] = 0
V[408] = 0
V[409] = 0
V[410] = 0
V[411] = 0
V[412] = 0
V[413] = 0
V[414] = 0
V[415] = 0
V[416] = 0
V[417] = 0
V[418] = 0
V[419] = 0
V[420] = 0
V[421] = 0
V[422] = 0
V[423] = 0
V[424] = 0
V[425] = 0
V[426] = 0
V[427] = 0
V[428] = 0
V[429] = 0
V[430] = 0
V[431] = 0
V[432] = 0
V[433] = 0
V[434] = 0
V[435] = 0
V[436] = 0
V[437] = 0
V[438] = 0
V[439] = 0
V[440] = 0
V[441] = 0
V[442] = 0
V[443] = 0
V[444] = 0
V[445] = 0
V[446] = 0
V[447] = 0
V[448] = 0
V[449] = 0
V[450] = 0
V[451] = 0
V[452] = 0
V[453] = 0
V[454] = 0
V[455] = 0
V[456] = 0
V[457] = 0
V[458] = 0
V[459] = 0
V[460] = 0
V[461] = 0
V[462] = 0
V[463] = 0
V[464] = 0
V[465] = 0
V[466] = 0
V[467] = 0
V[468] = 0
V[469] = 0
V[470] = 0
V[471] = 0
V[472] = 0
V[473] = 0
V[474] = 0
V[475] = 0
V[476] = 0
V[477] = 0
V[478] = 0
V[479] = 0
V[480] = 0
V[481] = 0
V[482] = 0
V[483] = 0
V[484] = 0
V[485] = 0
V[486] = 0
V[487] = 0
V[488] = 0
V[489] = 0
V[490] = 0
V[491] = 0
V[492] = 0
V[493] = 0
V[494] = 0
V[495] = 0
V[496] = 0
V[497] = 0
V[498] = 0
V[499] = 0
Alguns valores serão zero, pois os numeros de threads totais não é suficiente.
